Test Time(ms),Current(A),Inlet Temp,Outlet Temp,Thermocouple Temperature,Average Tab Temp,Test Time (s)
7445320,41.9837,27.9731736,28.3900384,25.2007,28.181606,1373.09
7446320,41.9837,28.3876712,28.4008402,25.2582,28.3942557,1374.09
7447320,41.9837,28.1166206,28.4694634,25.1995,28.293042,1375.09
7448320,41.9837,28.213822,28.5084346,25.2644,28.3611283,1376.09
7449320,41.9837,28.3776085,28.3860142,25.2649,28.38181135,1377.09
7450320,41.9839,28.5613063,28.3953334,25.198,28.47831985,1378.09
7451320,41.9837,28.3741829,28.6418686,25.2539,28.50802575,1379.09
7452320,41.9836,28.5889252,28.6560592,25.2245,28.6224922,1380.09
7452480,41.9837,28.5889252,28.6560592,25.2245,28.6224922,1380.25
7452580,14.0133,28.5889252,28.6560592,25.2245,28.6224922,1380.35
7453480,14.0151,28.2624227,28.5582076,25.1865,28.41031515,1381.25
7454480,14.0158,28.6231812,28.6888882,25.2068,28.6560347,1382.25
7455480,14.0158,28.6630038,28.7481922,25.2542,28.705598,1383.25
7456480,14.0158,28.4170029,28.7159986,25.2216,28.56650075,1384.25
7457480,14.0159,28.6874112,28.9472842,25.2201,28.8173477,1385.25
7458480,14.0159,28.457896,29.0040466,25.3013,28.7309713,1386.25
7459480,14.016,28.9394069,29.1448936,25.2411,29.04215025,1387.25
7460480,14.0161,28.5887111,28.8943342,25.2572,28.74152265,1388.25
7461480,14.0159,28.5294054,28.889251,25.1719,28.7093282,1389.25
7462480,14.0159,28.6251081,28.8799318,25.2861,28.75251995,1390.25
7463480,14.0159,28.44505,28.8877684,25.2821,28.6664092,1391.25
7464480,14.0159,28.4381988,28.8049546,25.2572,28.6215767,1392.25
7465480,14.0159,28.3249399,28.8530332,25.1877,28.58898655,1393.25
7466480,14.0159,28.2926108,29.0254384,25.2811,28.6590246,1394.25
7467480,14.0159,28.5129197,29.0372992,25.2451,28.77510945,1395.25
7468480,14.0159,28.4390552,29.0093416,25.3286,28.7241984,1396.25
7469480,14.0159,28.4422667,28.730401,25.2698,28.58633385,1397.25
